iter	Passed	Remaining
0	4	63555
1	8	61458
2	12	56133
3	15	55646
4	18	53174
5	23	54171
6	27	54644
7	32	56430
8	36	56648
9	40	57295
10	45	57298
11	47	55239
12	52	56033
13	56	56445
14	60	56567
15	64	56757
16	69	57500
17	76	59460
18	81	59634
19	85	60030
20	90	60223
21	94	60111
22	98	59812
23	102	59842
24	107	60060
25	112	60398
26	117	60705
27	122	61253
28	125	60431
29	129	60434
30	134	60582
31	137	59974
32	139	58945
33	144	59191
34	149	59489
35	153	59569
36	158	59746
37	161	59242
38	163	58689
39	167	58596
40	170	57941
41	175	58351
42	180	58675
43	185	58969
44	188	58329
45	190	57831
46	195	58039
47	200	58138
48	205	58545
49	210	58648
50	214	58657
51	219	58878
52	224	59030
53	229	59158
54	231	58686
55	233	58151
56	235	57699
57	240	57786
58	242	57368
59	247	57437
60	251	57540
61	254	57115
62	258	57241
63	263	57409
64	268	57570
65	271	57248
66	276	57417
67	278	56994
68	283	57186
69	285	56809
70	290	56929
71	295	57078
72	300	57267
73	302	56861
74	304	56457
75	308	56585
76	313	56751
77	318	56886
78	324	57095
79	328	57160
80	331	56924
81	335	57012
82	340	57069
83	345	57237
84	349	57287
85	354	57408
86	359	57516
87	364	57647
88	368	57632
89	373	57701
90	378	57835
91	383	57965
92	388	58087
93	393	58233
94	398	58313
95	403	58451
96	408	58507
97	413	58617
98	418	58739
99	423	58805
100	427	58885
101	432	58953
102	437	59057
103	443	59219
104	448	59316
105	453	59421
106	457	59420
107	462	59482
108	467	59521
109	472	59613
110	477	59719
111	482	59804
112	486	59795
113	491	59871
114	495	59871
115	500	59913
116	505	60010
117	511	60146
118	515	60177
119	521	60275
120	526	60334
121	530	60403
122	535	60467
123	540	60522
124	545	60598
125	550	60632
126	555	60662
127	560	60729
128	565	60758
129	570	60816
130	574	60849
131	579	60868
132	584	60961
133	589	60990
134	594	61029
135	599	61085
136	603	61099
137	609	61176
138	614	61252
139	619	61288
140	624	61347
141	629	61462
142	634	61492
143	639	61550
144	644	61604
145	649	61600
146	653	61629
147	659	61699
148	664	61769
149	668	61745
150	673	61808
151	678	61845
152	683	61886
153	688	61917
154	693	61956
155	698	61949
156	703	62038
157	708	62083
